id,gender,screentime,url,image_url
Tyrion-Lannister,male,293.3,https://gameofthrones.fandom.com/wiki/Tyrion_Lannister,https://static.wikia.nocookie.net/gameofthrones/images/9/95/HandoftheKingTyrionLannister.PNG/revision/latest/scale-to-width-down/330?cb=20190520175204
Jon-Snow,male,268.15,https://gameofthrones.fandom.com/wiki/Jon_Snow,https://static.wikia.nocookie.net/gameofthrones/images/d/d0/JonSnow8x06.PNG/revision/latest?cb=20190714094440
Daenerys-Targaryen,female,221.3,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen,https://static.wikia.nocookie.net/gameofthrones/images/4/4f/Daenerys_Season_8.jpg/revision/latest/scale-to-width-down/301?cb=20190415212013
Cersei-Lannister,female,201.45,https://gameofthrones.fandom.com/wiki/Cersei_Lannister,https://static.wikia.nocookie.net/gameofthrones/images/b/b0/CERSEIBATTLEOFKINGSLANDING.PNG/revision/latest/scale-to-width-down/338?cb=20190906021534
Sansa-Stark,female,199.3,https://gameofthrones.fandom.com/wiki/Sansa_Stark,https://static.wikia.nocookie.net/gameofthrones/images/6/63/QueenSansa.PNG/revision/latest?cb=20210215100224
Arya-Stark,female,189.15,https://gameofthrones.fandom.com/wiki/Arya_Stark,https://static.wikia.nocookie.net/gameofthrones/images/b/be/AryaShipIronThrone.PNG/revision/latest/scale-to-width-down/335?cb=20190520174300
Jaime-Lannister,male,162.3,https://gameofthrones.fandom.com/wiki/Jaime_Lannister,https://static.wikia.nocookie.net/gameofthrones/images/5/51/JaimeLannisterSeason8.PNG/revision/latest/scale-to-width-down/317?cb=20190207112813
Theon-Greyjoy,male,123.3,https://gameofthrones.fandom.com/wiki/Theon_Greyjoy,https://static.wikia.nocookie.net/gameofthrones/images/7/78/TheonS8E1.PNG/revision/latest/scale-to-width-down/314?cb=20190415192721
Samwell-Tarly,male,121.45,https://gameofthrones.fandom.com/wiki/Samwell_Tarly,https://static.wikia.nocookie.net/gameofthrones/images/8/8f/Maester_Sam.png/revision/latest/scale-to-width-down/350?cb=20190609215621
Jorah-Mormont,male,117.3,https://gameofthrones.fandom.com/wiki/Jorah_Mormont,https://static.wikia.nocookie.net/gameofthrones/images/2/26/Winterfell_ep_Jorah_s8.jpg/revision/latest/scale-to-width-down/291?cb=20210722093523
Eddard-Stark,male,99.45,https://gameofthrones.fandom.com/wiki/Eddard_Stark,https://static.wikia.nocookie.net/gameofthrones/images/3/34/Eddard_Stark.jpg/revision/latest/scale-to-width-down/350?cb=20190701140812
Bran-Stark,male,86.0,https://gameofthrones.fandom.com/wiki/Bran_Stark,https://static.wikia.nocookie.net/gameofthrones/images/8/81/KingBran.PNG/revision/latest/scale-to-width-down/336?cb=20190520173855
Catelyn-Stark,female,82.45,https://gameofthrones.fandom.com/wiki/Catelyn_Stark,https://static.wikia.nocookie.net/gameofthrones/images/d/d8/CatelynS3Promo.jpg/revision/latest/scale-to-width-down/303?cb=20190427043743
Tywin-Lannister,male,78.15,https://gameofthrones.fandom.com/wiki/Tywin_Lannister,https://static.wikia.nocookie.net/gameofthrones/images/7/71/Tywin_Lannister_4x08.jpg/revision/latest/scale-to-width-down/348?cb=20170830015346
Robb-Stark,male,77.45,https://gameofthrones.fandom.com/wiki/Robb_Stark,https://static.wikia.nocookie.net/gameofthrones/images/5/50/S3E9_Robb_Stark_main.jpg/revision/latest/scale-to-width-down/327?cb=20160718071203
Stannis-Baratheon,male,73.15,https://gameofthrones.fandom.com/wiki/Stannis_Baratheon,https://static.wikia.nocookie.net/gameofthrones/images/2/2f/StannisNew.png/revision/latest/scale-to-width-down/350?cb=20210313165449
Joffrey-Baratheon,male,70.15,https://gameofthrones.fandom.com/wiki/Joffrey_Baratheon,https://static.wikia.nocookie.net/gameofthrones/images/2/25/Joffrey_Season_4_Episode_2_TLATR.jpg/revision/latest/scale-to-width-down/301?cb=20210722092942
Bronn,male,64.0,https://gameofthrones.fandom.com/wiki/Bronn,https://static.wikia.nocookie.net/gameofthrones/images/f/f5/Bronn_S8E6.png/revision/latest/scale-to-width-down/350?cb=20210722075802
Shae,female,47.15,https://gameofthrones.fandom.com/wiki/Shae,https://static.wikia.nocookie.net/gameofthrones/images/0/01/Shae_in_Two_Swords.png/revision/latest/scale-to-width-down/333?cb=20140505142823
Barristan-Selmy,male,37.15,https://gameofthrones.fandom.com/wiki/Barristan_Selmy,https://static.wikia.nocookie.net/gameofthrones/images/1/1f/Barristan_Selmy_Sons_of_the_Harpy.jpg/revision/latest/scale-to-width-down/328?cb=20150504180820
Loras-Tyrell,male,33.0,https://gameofthrones.fandom.com/wiki/Loras_Tyrell,https://static.wikia.nocookie.net/gameofthrones/images/0/02/LorasTyrell5X06.PNG/revision/latest?cb=20181013200613
Robert-Baratheon,male,30.3,https://gameofthrones.fandom.com/wiki/Robert_Baratheon,https://static.wikia.nocookie.net/gameofthrones/images/4/43/Robert_crop.png/revision/latest/scale-to-width-down/350?cb=20210223122212
